schema,table,ordinal,column,data_type
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,1,log_type,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,2,__event_id,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,3,account_id,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,4,app_channel,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,5,app_ver,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,6,base_delta_win_point,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,7,caid,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,8,cons_win_count,bigint
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,9,country_code,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,10,cur_protect_win_point,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,11,device_height,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,12,device_model,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,13,device_width,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,14,engine_ver,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,15,extra_win_point,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,16,final_add_prop,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,17,gameplay_id,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,18,imei,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,19,is_diao_ji,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,20,is_emulator,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,21,is_jin_ji,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,22,is_root,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,23,is_tian_ti_peak,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,24,isp,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,25,language,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,26,log_id,varchar
bi_jus_vn,etl_ingame_commoncalclevelandwinpoint,27,mac_addr,varchar
